"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.796872800E-1,1.024950027E0,1.074000001E0,9.706050873E0,9.818931821E0
1.821527410E-1,8.650500178E-1,1.030950069E0,1.001805019E1,1.010804132E1
1.846182800E-1,9.390000701E-1,1.093950033E0,1.002195072E1,1.012511452E1
1.870838180E-1,9.199500680E-1,1.081950068E0,9.931050301E0,1.003208274E1
1.895491260E-1,8.620500565E-1,1.108050108E0,1.007700062E1,1.017432292E1
1.920146500E-1,7.930500507E-1,1.108050108E0,9.898050308E0,9.991401470E0
1.944798810E-1,9.289500713E-1,1.108050108E0,9.916950226E0,1.002180747E1
1.969454190E-1,9.529500604E-1,1.108050108E0,1.000800037E1,1.011414655E1
1.994109580E-1,9.390000701E-1,1.120050073E0,9.975000381E0,1.008151109E1
2.018764190E-1,9.220500588E-1,1.081950068E0,9.931050301E0,1.003227553E1
2.043420250E-1,9.510000348E-1,1.108050108E0,9.879000664E0,9.986332171E0
2.068072560E-1,9.199500680E-1,1.057950020E0,9.994050026E0,1.009190776E1
2.092724090E-1,9.270000458E-1,1.093950033E0,1.005600071E1,1.015771658E1
2.117377170E-1,9.150000215E-1,1.086000085E0,1.003395081E1,1.013394247E1
2.142031790E-1,9.340500236E-1,1.110000014E0,9.928950310E0,1.003437112E1
2.166687700E-1,9.240000248E-1,1.141050100E0,9.778050423E0,9.887671184E0
2.191342320E-1,9.360000491E-1,1.114950061E0,9.784950256E0,9.892646827E0
2.215997700E-1,9.480000734E-1,1.096050024E0,9.859950066E0,9.965874025E0
2.240653090E-1,9.360000491E-1,1.077000022E0,9.919050217E0,1.002115674E1
2.265305390E-1,8.770500422E-1,1.086000085E0,9.910050392E0,1.000788248E1
2.289957510E-1,9.010500312E-1,1.108050108E0,9.850050926E0,9.953048249E0
2.314610590E-1,9.360000491E-1,1.086000085E0,9.862050056E0,9.965717415E0
2.339265970E-1,9.240000248E-1,1.045950055E0,9.862050056E0,9.960312188E0
2.363920590E-1,9.120000601E-1,1.120050073E0,9.916950226E0,1.002158461E1
2.388573660E-1,9.120000601E-1,1.117050052E0,9.927000046E0,1.003119509E1
2.413225680E-1,9.559500217E-1,1.134000063E0,9.892950058E0,1.000351226E1
2.437877990E-1,9.439500570E-1,1.004999995E0,9.898050308E0,9.993621296E0
2.462530300E-1,9.529500604E-1,1.102950096E0,9.940950394E0,1.004724377E1
2.487182610E-1,9.600000381E-1,1.053000093E0,9.936000824E0,1.003765519E1
2.511834910E-1,9.460500479E-1,1.045950055E0,9.898050308E0,9.998020910E0
2.536489670E-1,9.079500437E-1,1.057950020E0,9.888000488E0,9.985799176E0
2.789592300E-1,9.199500680E-1,1.078950047E0,9.876000404E0,9.977265423E0
2.814244610E-1,9.049500227E-1,1.098000050E0,9.927000046E0,1.002845295E1
2.838899220E-1,8.929500580E-1,1.053000093E0,9.940950394E0,1.003636706E1
2.863552300E-1,9.100500345E-1,1.084050059E0,9.904950142E0,1.000556810E1
2.888207690E-1,8.839500546E-1,1.098000050E0,9.915000916E0,1.001469994E1
2.912862770E-1,9.169500470E-1,1.141050100E0,9.915000916E0,1.002247653E1
2.937518160E-1,9.289500713E-1,1.113000035E0,9.915000916E0,1.002042716E1
2.962175850E-1,9.679500461E-1,1.072050095E0,9.888000488E0,9.992936123E0
2.986832000E-1,9.360000491E-1,1.110000014E0,9.960000038E0,1.006527679E1
3.011487390E-1,9.220500588E-1,1.101000071E0,9.964950562E0,1.006790034E1
3.036142000E-1,9.360000491E-1,1.093950033E0,9.984000206E0,1.008727331E1
3.060797390E-1,9.439500570E-1,1.101000071E0,9.922050476E0,1.002747867E1
3.085453540E-1,9.010500312E-1,1.077000022E0,9.910050392E0,1.000904186E1
3.110108160E-1,9.199500680E-1,1.090950012E0,9.903000832E0,1.000529388E1
3.134763540E-1,9.049500227E-1,1.101000071E0,9.931050301E0,1.003279103E1
3.159418930E-1,9.100500345E-1,1.033950090E0,9.888000488E0,9.983476224E0
3.184074310E-1,9.390000701E-1,1.054949999E0,9.900000572E0,1.000023260E1
3.208729690E-1,9.630000591E-1,1.069950104E0,9.948000908E0,1.005161104E1
3.233382770E-1,9.120000601E-1,1.066950083E0,9.940950394E0,1.003955284E1
3.258040460E-1,9.100500345E-1,1.060050011E0,9.886050224E0,9.984281954E0
3.282693870E-1,9.240000248E-1,1.081950068E0,9.912000656E0,1.001359820E1
3.307348490E-1,9.030000567E-1,1.108050108E0,9.924000740E0,1.002641386E1
3.332003870E-1,9.270000458E-1,1.108050108E0,9.934050560E0,1.003854893E1
3.356659260E-1,9.289500713E-1,1.053000093E0,9.952950478E0,1.005151634E1
3.381314640E-1,9.510000348E-1,1.069950104E0,9.919050217E0,1.002181378E1
3.405970790E-1,9.480000734E-1,1.062000036E0,9.874050140E0,9.976142260E0
3.430623100E-1,9.220500588E-1,1.081950068E0,9.915000916E0,1.001638834E1
3.455278490E-1,9.289500713E-1,1.149000049E0,9.931050301E0,1.004036401E1
3.479933100E-1,9.079500437E-1,1.114950061E0,9.951000214E0,1.005434693E1
3.504589260E-1,9.199500680E-1,1.069950104E0,9.948000908E0,1.004757799E1
3.529244730E-1,9.649500251E-1,1.072050095E0,9.891000748E0,9.995614826E0
3.553899350E-1,9.289500713E-1,1.113000035E0,9.907050133E0,1.001256009E1
3.578551650E-1,9.360000491E-1,1.096050024E0,9.927000046E0,1.003108926E1
3.603204730E-1,9.049500227E-1,1.086000085E0,9.948000908E0,1.004793774E1
3.627859350E-1,8.910000324E-1,1.078950047E0,9.888000488E0,9.986519310E0
3.652515020E-1,9.220500588E-1,1.078950047E0,9.856950760E0,9.958603707E0
3.677170410E-1,9.319500327E-1,1.102950096E0,9.924000740E0,1.002850041E1
3.701825790E-1,9.030000567E-1,1.090950012E0,9.868950844E0,9.970043721E0
3.726478100E-1,8.929500580E-1,1.081950068E0,9.900000572E0,9.998899294E0
3.751131180E-1,9.319500327E-1,1.077000022E0,9.904950142E0,1.000682253E1
3.775785880E-1,9.220500588E-1,1.062000036E0,9.880950928E0,9.980541650E0
3.800438190E-1,8.980500698E-1,1.077000022E0,9.934050560E0,1.003253624E1
3.825093570E-1,9.319500327E-1,1.101000071E0,9.951000214E0,1.005500558E1
3.849746650E-1,9.120000601E-1,1.102950096E0,9.955050468E0,1.005739891E1
3.874402030E-1,9.289500713E-1,1.101000071E0,9.900000572E0,1.000425713E1
3.899054580E-1,9.360000491E-1,1.098000050E0,9.900000572E0,1.000458453E1
3.923709200E-1,9.199500680E-1,1.093950033E0,9.940950394E0,1.004318324E1
3.948365350E-1,9.030000567E-1,1.101000071E0,9.907050133E0,1.000885871E1
3.973019970E-1,9.240000248E-1,1.065000057E0,9.867000580E0,9.967231391E0
3.997675350E-1,9.480000734E-1,1.081950068E0,9.970050812E0,1.007329307E1
4.022331700E-1,9.150000215E-1,1.096050024E0,9.943050385E0,1.004503866E1
4.046989390E-1,8.890500665E-1,1.096050024E0,9.955050468E0,1.005458928E1
4.071644770E-1,9.199500680E-1,1.114950061E0,9.924000740E0,1.002871938E1
4.096300930E-1,8.910000324E-1,1.132050037E0,9.964950562E0,1.006854796E1
4.120955540E-1,9.100500345E-1,1.081950068E0,9.907050133E0,1.000741971E1
4.145610870E-1,9.439500570E-1,1.048050046E0,9.915000916E0,1.001482370E1
4.170266250E-1,9.199500680E-1,1.048050046E0,9.931050301E0,1.002848329E1
4.194922410E-1,8.670000434E-1,1.060050011E0,9.936000824E0,1.002993058E1
4.219580870E-1,9.270000458E-1,1.078950047E0,9.892950058E0,9.994694750E0
4.244236250E-1,9.240000248E-1,1.078950047E0,9.886050224E0,9.987587211E0
4.268891550E-1,9.049500227E-1,1.062000036E0,9.895050049E0,9.992937210E0
4.293546160E-1,8.959500194E-1,1.069950104E0,9.903000832E0,1.000084722E1
4.318202320E-1,9.199500680E-1,1.084050059E0,9.922050476E0,1.002340054E1
4.342860010E-1,9.049500227E-1,1.096050024E0,9.940950394E0,1.004204934E1
4.367515390E-1,9.150000215E-1,1.072050095E0,9.924000740E0,1.002358754E1
4.392171830E-1,9.169500470E-1,1.065000057E0,9.912000656E0,1.001113278E1
4.416826440E-1,8.550000191E-1,1.069950104E0,9.874050140E0,9.968584876E0
4.441482600E-1,9.319500327E-1,1.081950068E0,9.964950562E0,1.006674657E1
4.466140290E-1,9.559500217E-1,1.108050108E0,9.927000046E0,1.003428848E1
4.490796440E-1,9.360000491E-1,1.113000035E0,9.879000664E0,9.985465402E0
4.515454710E-1,8.980500698E-1,1.093950033E0,9.856950760E0,9.958046941E0
4.540113180E-1,9.529500604E-1,1.090950012E0,9.936000824E0,1.004103571E1
4.564770870E-1,9.049500227E-1,1.098000050E0,9.963000298E0,1.006409030E1
4.589426250E-1,9.270000458E-1,1.122000098E0,9.952950478E0,1.005879896E1
4.614081640E-1,9.340500236E-1,1.089000106E0,9.868950844E0,9.972690782E0
4.638737600E-1,9.169500470E-1,1.093950033E0,9.931050301E0,1.003310940E1
4.663395290E-1,9.460500479E-1,1.090950012E0,9.991050720E0,1.009486390E1
4.688050680E-1,9.700500369E-1,1.086000085E0,9.975000381E0,1.008072546E1
4.712706830E-1,9.010500312E-1,1.081950068E0,9.880950928E0,9.980766421E0
4.737362220E-1,9.220500588E-1,1.096050024E0,9.886050224E0,9.989268792E0
4.762017270E-1,8.929500580E-1,1.065000057E0,9.892950058E0,9.990097386E0
4.786672660E-1,8.929500580E-1,1.069950104E0,9.976950645E0,1.007381245E1
4.811327270E-1,9.220500588E-1,1.086000085E0,9.997950554E0,1.009893993E1
4.835983430E-1,9.319500327E-1,1.078950047E0,9.948000908E0,1.004964607E1
